
                        S T E P       1


                                INCREMENT     1


 displacements (vx,vy,vz) for set MID and time  0.1000000E+01

         9 -6.862904E-17 -1.307979E-14 -8.035271E-02

 stresses (elem, integ.pnt.,sxx,syy,szz,sxy,sxz,syz) for set MEMBER and time  0.1000000E+01

         4  16  2.167223E+00  1.687674E-02  1.983515E-03  2.061078E-14 -1.221108E-01 -2.013620E-14
         4  17  2.395363E+00 -2.371478E-02  4.301498E-02  2.442430E-15 -6.550403E-02 -2.906583E-14
         4  18  2.635639E+00 -3.598762E-02  9.618301E-02  4.334036E-14 -1.250935E-01 -2.228946E-14
         4  19 -2.160132E+00 -1.383768E-02  1.055552E-03  1.036034E-02 -1.470212E-01  8.820768E-03
         4  20 -2.388272E+00  2.675384E-02 -3.997591E-02  1.342066E-02 -8.772995E-02 -2.647282E-02
         4  21 -2.628548E+00  3.902668E-02 -9.314395E-02  1.648098E-02 -1.446350E-01 -6.759196E-02
         4  22 -3.494839E-13 -2.308906E-14  4.191379E-14  4.797525E-14 -1.492321E-01  8.820768E-03
         4  23 -2.481772E-13  2.884841E-14  3.238942E-14 -1.968334E-16 -8.994083E-02 -2.647282E-02
         4  24 -1.785036E-13 -1.026486E-14  8.472415E-15  7.080664E-15 -1.468458E-01 -6.759196E-02
         4  25  2.160132E+00  1.383768E-02 -1.055552E-03 -1.036034E-02 -1.470212E-01  8.820768E-03
         4  26  2.388272E+00 -2.675384E-02  3.997591E-02 -1.342066E-02 -8.772995E-02 -2.647282E-02
         4  27  2.628548E+00 -3.902668E-02  9.314395E-02 -1.648098E-02 -1.446350E-01 -6.759196E-02
         5   1 -2.628459E+00  3.918971E-02 -9.329079E-02  1.652176E-02  1.445102E-01  6.769530E-02
         5   2 -2.388153E+00  2.724262E-02 -4.078101E-02  1.327591E-02  8.760739E-02  2.696038E-02
         5   3 -2.160078E+00 -1.324239E-02 -5.017659E-04  1.003007E-02  1.469667E-01 -7.903877E-03
         5   4  1.187654E-13 -5.693364E-14  4.416381E-14 -2.798674E-14  1.468321E-01  6.769530E-02
         5   5  1.466866E-13  1.396313E-14  5.388697E-14 -1.824709E-15  8.992929E-02  2.696038E-02
         5   6  1.725426E-13  7.468240E-15  1.361824E-13  1.026151E-14  1.492886E-01 -7.903877E-03
         5   7  2.628459E+00 -3.918971E-02  9.329079E-02 -1.652176E-02  1.445102E-01  6.769530E-02
         5   8  2.388153E+00 -2.724262E-02  4.078101E-02 -1.327591E-02  8.760739E-02  2.696038E-02
         5   9  2.160078E+00  1.324239E-02  5.017659E-04 -1.003007E-02  1.469667E-01 -7.903877E-03
         5  10 -2.635759E+00  3.606116E-02 -9.641934E-02 -6.196450E-14  1.251714E-01  5.333558E-15
         5  11 -2.395453E+00  2.411407E-02 -4.390956E-02 -4.220596E-14  6.550504E-02 -1.359195E-14
         5  12 -2.167378E+00 -1.637093E-02 -3.630314E-03 -3.756541E-14  1.221008E-01  1.388251E-14
         5  13  2.967447E-14 -1.359750E-14  3.897546E-14 -1.249881E-14  1.274933E-01 -4.714240E-14
         5  14  9.672502E-15  1.279316E-14  1.047636E-15 -4.377282E-16  6.782693E-02 -1.287268E-14
         5  15  8.037611E-15 -1.848294E-14  8.082431E-14 -2.298772E-15  1.244227E-01  1.976155E-14
         5  16  2.635759E+00 -3.606116E-02  9.641934E-02  4.100759E-14  1.251714E-01 -2.739513E-15
         5  17  2.395453E+00 -2.411407E-02  4.390956E-02  4.418988E-14  6.550504E-02  2.233000E-14
         5  18  2.167378E+00  1.637093E-02  3.630314E-03  3.294655E-14  1.221008E-01 -8.946920E-15
         5  19 -2.628459E+00  3.918971E-02 -9.329079E-02 -1.652176E-02  1.445102E-01 -6.769530E-02
         5  20 -2.388153E+00  2.724262E-02 -4.078101E-02 -1.327591E-02  8.760739E-02 -2.696038E-02
         5  21 -2.160078E+00 -1.324239E-02 -5.017659E-04 -1.003007E-02  1.469667E-01  7.903877E-03
         5  22 -7.446275E-14  8.278212E-15 -2.270139E-14 -5.092149E-16  1.468321E-01 -6.769530E-02
         5  23 -1.313152E-13  5.865177E-16 -8.475511E-14 -2.245404E-15  8.992929E-02 -2.696038E-02
         5  24 -1.187037E-13 -1.323034E-14  9.204871E-14 -1.885742E-14  1.492886E-01  7.903877E-03
         5  25  2.628459E+00 -3.918971E-02  9.329079E-02  1.652176E-02  1.445102E-01 -6.769530E-02
         5  26  2.388153E+00 -2.724262E-02  4.078101E-02  1.327591E-02  8.760739E-02 -2.696038E-02
         5  27  2.160078E+00  1.324239E-02  5.017659E-04  1.003007E-02  1.469667E-01  7.903877E-03
         6   1 -1.944217E+00  2.466094E-03  3.770426E-02 -3.356357E-03  1.372643E-01 -1.491812E-02
         6   2 -1.712332E+00 -7.917448E-03  1.271100E-02  7.090349E-05  7.488323E-02 -8.175168E-03
         6   3 -1.479714E+00 -1.658828E-02 -1.154824E-02  3.498164E-03  1.360825E-01 -1.784545E-03
         6   4  1.291441E-13 -2.449780E-14  1.110827E-13 -3.775057E-14  1.505362E-01 -1.491812E-02
         6   5  1.522549E-13  5.938568E-15  4.176598E-14 -1.519347E-14  8.815514E-02 -8.175168E-03
         6   6  2.104515E-13  4.923467E-14  7.505983E-14 -5.905898E-15  1.493544E-01 -1.784545E-03
         6   7  1.944217E+00 -2.466094E-03 -3.770426E-02  3.356357E-03  1.372643E-01 -1.491812E-02
         6   8  1.712332E+00  7.917448E-03 -1.271100E-02 -7.090349E-05  7.488323E-02 -8.175168E-03
         6   9  1.479714E+00  1.658828E-02  1.154824E-02 -3.498164E-03  1.360825E-01 -1.784545E-03
         6  10 -1.940705E+00  3.971234E-03  3.920940E-02 -2.045338E-14  1.269379E-01  1.982416E-14
