
                        S T E P       1


                                INCREMENT     1


 displacements (vx,vy,vz) for set MID and time  0.1000000E+01

        33  3.868103E-16  5.181741E-15 -4.718545E-02

 stresses (elem, integ.pnt.,sxx,syy,szz,sxy,sxz,syz) for set MEMBER and time  0.1000000E+01

         8   2 -8.909207E-01 -1.902514E-08 -7.812785E-09 -1.549939E-03 -8.983842E-02  2.482541E-09
         8   3 -9.366591E-01  1.150521E-04  1.150617E-04 -1.549928E-03 -9.227011E-02  2.993867E-09
         8   4  3.963322E-14  2.607013E-14  6.809353E-14  3.988838E-15 -1.018855E-01  2.279094E-09
         8   5  4.773613E-14  4.570667E-14  1.027411E-13  1.331633E-15 -9.945380E-02  2.482581E-09
         8   6  4.644919E-14  5.602178E-14  1.154107E-13  2.098896E-15 -1.018855E-01  2.993943E-09
         8   7  8.451822E-01  1.150919E-04  1.150781E-04  1.549951E-03 -9.227010E-02  2.279116E-09
         8   8  8.909207E-01  1.902515E-08  7.812965E-09  1.549939E-03 -8.983842E-02  2.482617E-09
         8   9  9.366591E-01 -1.150521E-04 -1.150617E-04  1.549928E-03 -9.227011E-02  2.993970E-09
         8  10 -8.451822E-01 -1.150755E-04 -1.150617E-04  2.628516E-13 -8.581201E-02 -5.098437E-15
         8  11 -8.909206E-01 -2.573793E-09  8.638501E-09  2.535844E-13 -8.338032E-02 -2.839025E-14
         8  12 -9.366591E-01  1.150685E-04  1.150782E-04  2.534331E-13 -8.581201E-02 -3.603608E-14
         8  13  4.913191E-14  1.320567E-14  4.146952E-14  1.233817E-14 -9.542739E-02 -1.451352E-14
         8  14  4.607269E-14  1.555425E-14  3.841030E-14  1.147240E-14 -9.299570E-02 -8.935106E-15
         8  15  4.817981E-14  2.311621E-14  4.735884E-14  1.364282E-14 -9.542739E-02  2.274652E-15
         8  16  8.451822E-01  1.150755E-04  1.150617E-04 -2.692631E-13 -8.581201E-02  1.281205E-15
         8  17  8.909206E-01  2.573723E-09 -8.638475E-09 -2.613594E-13 -8.338032E-02  7.716286E-16
         8  18  9.366591E-01 -1.150685E-04 -1.150782E-04 -2.582741E-13 -8.581201E-02 -1.864574E-14
