
                        S T E P       1


                                INCREMENT     1


 displacements (vx,vy,vz) for set MID and time  0.1000000E+01

        17  1.359437E-16 -4.296761E-14 -6.173757E-02

 stresses (elem, integ.pnt.,sxx,syy,szz,sxy,sxz,syz) for set MEMBER and time  0.1000000E+01

         3  19 -6.066043E-01 -1.298557E-03 -1.450882E-03  2.326917E-03 -1.061331E-01  2.569106E-06
         3  20 -7.142105E-01 -1.054662E-04 -8.789954E-05  2.264680E-03 -9.353313E-02 -2.031618E-06
         3  21 -8.217499E-01  1.243345E-03  1.341820E-03  2.202443E-03 -1.061655E-01  2.263842E-05
         3  22 -2.413335E-13  5.912188E-15 -5.167689E-15 -3.807143E-14 -1.167076E-01  2.569106E-06
         3  23 -3.081282E-13  7.501682E-15 -1.476815E-14 -2.311895E-14 -1.041076E-01 -2.031618E-06
         3  24 -3.779706E-13  5.218291E-15 -3.302622E-14 -2.897234E-14 -1.167400E-01  2.263842E-05
         3  25  6.066043E-01  1.298557E-03  1.450882E-03 -2.326917E-03 -1.061331E-01  2.569106E-06
         3  26  7.142105E-01  1.054662E-04  8.789954E-05 -2.264680E-03 -9.353313E-02 -2.031618E-06
         3  27  8.217499E-01 -1.243345E-03 -1.341820E-03 -2.202443E-03 -1.061655E-01  2.263842E-05
         4   1 -8.921048E-01 -1.248649E-03 -1.220509E-03 -2.236245E-03 -1.062321E-01 -1.889022E-05
         4   2 -9.996482E-01  1.188408E-04 -6.427121E-05 -2.276243E-03 -9.361190E-02  5.529312E-05
         4   3 -1.107254E+00  1.340135E-03  1.029312E-03 -2.316241E-03 -1.062072E-01  1.569567E-04
         4   4  4.625106E-13  1.466646E-14  7.911743E-14 -3.419423E-14 -1.167184E-01 -1.889022E-05
         4   5  4.979864E-13 -4.357060E-15  6.498768E-15 -1.916344E-14 -1.040981E-01  5.529312E-05
         4   6  5.704251E-13  9.639958E-15  1.339665E-14 -2.575149E-14 -1.166934E-01  1.569567E-04
         4   7  8.921048E-01  1.248649E-03  1.220509E-03  2.236245E-03 -1.062321E-01 -1.889022E-05
         4   8  9.996482E-01 -1.188408E-04  6.427121E-05  2.276243E-03 -9.361190E-02  5.529312E-05
         4   9  1.107254E+00 -1.340135E-03 -1.029312E-03  2.316241E-03 -1.062072E-01  1.569567E-04
         4  10 -8.922672E-01 -1.318252E-03 -1.290113E-03 -8.134830E-14 -9.776702E-02 -2.796967E-14
         4  11 -9.998106E-01  4.923714E-05 -1.338748E-04 -6.152422E-14 -8.517488E-02  1.240633E-14
         4  12 -1.107417E+00  1.270531E-03  9.597082E-04 -6.877338E-14 -9.779823E-02  1.038371E-14
         4  13  5.718452E-15 -5.222221E-16  1.009696E-14 -3.026261E-14 -1.082533E-01 -1.251949E-14
         4  14  1.408207E-14 -3.455392E-16  6.966989E-15 -1.841202E-14 -9.566112E-02  3.949148E-15
         4  15  2.844047E-14  6.612701E-15  2.652487E-14 -2.710951E-14 -1.082845E-01  6.945265E-15
         4  16  8.922672E-01  1.318252E-03  1.290113E-03 -2.128757E-14 -9.776702E-02 -1.790894E-14
         4  17  9.998106E-01 -4.923714E-05  1.338748E-04 -1.610905E-14 -8.517488E-02 -8.395898E-15
         4  18  1.107417E+00 -1.270531E-03 -9.597082E-04 -2.529326E-14 -9.779823E-02  3.741626E-15
         4  19 -8.921048E-01 -1.248649E-03 -1.220509E-03  2.236245E-03 -1.062321E-01  1.889022E-05
         4  20 -9.996482E-01  1.188408E-04 -6.427121E-05  2.276243E-03 -9.361190E-02 -5.529312E-05
         4  21 -1.107254E+00  1.340135E-03  1.029312E-03  2.316241E-03 -1.062072E-01 -1.569567E-04
         4  22 -4.363550E-13 -2.347689E-15 -2.915371E-14 -2.364908E-14 -1.167184E-01  1.889022E-05
         4  23 -4.701579E-13  6.349101E-15  1.667754E-14 -1.561970E-14 -1.040981E-01 -5.529312E-05
         4  24 -5.221996E-13 -2.654144E-15  2.771375E-14 -2.510288E-14 -1.166934E-01 -1.569567E-04
         4  25  8.921048E-01  1.248649E-03  1.220509E-03 -2.236245E-03 -1.062321E-01  1.889022E-05
         4  26  9.996482E-01 -1.188408E-04  6.427121E-05 -2.276243E-03 -9.361190E-02 -5.529312E-05
         4  27  1.107254E+00 -1.340135E-03 -1.029312E-03 -2.316241E-03 -1.062072E-01 -1.569567E-04
         5   1 -1.178031E+00 -1.591682E-03 -1.576138E-03 -2.002406E-03 -1.059433E-01  9.516726E-05
         5   2 -1.285728E+00 -5.217972E-04  4.621102E-04 -1.865178E-03 -9.334520E-02 -3.112395E-04
         5   3 -1.393162E+00  1.163461E-03  2.764089E-03 -1.727951E-03 -1.060393E-01 -8.333179E-04
         5   4  5.617596E-13 -2.232965E-15  7.057250E-15 -2.693662E-14 -1.167527E-01  9.516726E-05
         5   5  6.242500E-13  1.823748E-15  1.407107E-15 -1.133978E-14 -1.041547E-01 -3.112395E-04
         5   6  6.809765E-13  5.954631E-16 -2.410026E-14 -1.866705E-14 -1.168487E-01 -8.333179E-04
         5   7  1.178031E+00  1.591682E-03  1.576138E-03  2.002406E-03 -1.059433E-01  9.516726E-05
         5   8  1.285728E+00  5.217972E-04 -4.621102E-04  1.865178E-03 -9.334520E-02 -3.112395E-04
         5   9  1.393162E+00 -1.163461E-03 -2.764089E-03  1.727951E-03 -1.060393E-01 -8.333179E-04
         5  10 -1.177406E+00 -1.324080E-03 -1.308535E-03 -4.456346E-14 -9.784319E-02 -3.257524E-15
         5  11 -1.285104E+00 -2.541947E-04  7.297127E-04 -3.959459E-14 -8.513712E-02 -2.701027E-14
         5  12 -1.392537E+00  1.431064E-03  3.031692E-03 -5.985436E-14 -9.772319E-02 -3.911442E-14
         5  13  2.682951E-14  2.762567E-15  2.026175E-14 -2.923491E-14 -1.086527E-01  2.858929E-15
         5  14  1.798324E-14 -7.662200E-15 -8.287810E-15 -1.333168E-14 -9.594659E-02  1.320541E-14
         5  15  2.100363E-14 -2.256563E-15 -3.625479E-15 -2.087549E-14 -1.085327E-01 -8.405498E-15
         5  16  1.177406E+00  1.324080E-03  1.308535E-03 -3.708372E-14 -9.784319E-02  1.253409E-14
         5  17  1.285104E+00  2.541947E-04 -7.297127E-04 -2.032707E-14 -8.513712E-02  8.649061E-15
         5  18  1.392537E+00 -1.431064E-03 -3.031692E-03 -2.296487E-14 -9.772319E-02 -1.800702E-14
         5  19 -1.178031E+00 -1.591682E-03 -1.576138E-03  2.002406E-03 -1.059433E-01 -9.516726E-05
         5  20 -1.285728E+00 -5.217972E-04  4.621102E-04  1.865178E-03 -9.334520E-02  3.112395E-04
         5  21 -1.393162E+00  1.163461E-03  2.764089E-03  1.727951E-03 -1.060393E-01  8.333179E-04
         5  22 -5.145839E-13  2.664448E-15  2.287807E-14 -2.559552E-14 -1.167527E-01 -9.516726E-05
         5  23 -5.917299E-13 -1.679753E-14 -1.321939E-14 -1.025396E-14 -1.041547E-01  3.112395E-04
         5  24 -6.512795E-13 -1.764122E-14 -1.283819E-14 -1.786472E-14 -1.168487E-01  8.333179E-04
         5  25  1.178031E+00  1.591682E-03  1.576138E-03 -2.002406E-03 -1.059433E-01 -9.516726E-05
         5  26  1.285728E+00  5.217972E-04 -4.621102E-04 -1.865178E-03 -9.334520E-02  3.112395E-04
         5  27  1.393162E+00 -1.163461E-03 -2.764089E-03 -1.727951E-03 -1.060393E-01  8.333179E-04
         6   1 -1.462529E+00 -9.369986E-05 -1.043544E-04 -3.229542E-03 -1.074120E-01 -4.731354E-04
         6   2 -1.569562E+00  2.406151E-03 -2.537731E-03 -3.734621E-03 -9.475335E-02  1.688238E-03
         6   3 -1.677749E+00  2.212078E-03 -6.125646E-03 -4.239699E-03 -1.070197E-01  4.355988E-03
         6   4  6.824369E-13 -1.547207E-14 -5.889934E-14 -2.256854E-14 -1.166013E-01 -4.731354E-04
         6   5  7.286539E-13 -2.357170E-14 -9.300062E-14 -1.009677E-14 -1.039427E-01  1.688238E-03
         6   6  7.986962E-13 -8.735462E-15 -7.358489E-14 -1.867748E-14 -1.162090E-01  4.355988E-03
         6   7  1.462529E+00  9.369986E-05  1.043544E-04  3.229542E-03 -1.074120E-01 -4.731354E-04
         6   8  1.569562E+00 -2.406151E-03  2.537731E-03  3.734621E-03 -9.475335E-02  1.688238E-03
         6   9  1.677749E+00 -2.212078E-03  6.125646E-03  4.239699E-03 -1.070197E-01  4.355988E-03
         6  10 -1.465081E+00 -1.187210E-03 -1.197864E-03 -8.129625E-14 -9.744389E-02 -2.641615E-14
         6  11 -1.572113E+00  1.312641E-03 -3.631241E-03 -6.537653E-14 -8.522660E-02  2.355852E-15
         6  12 -1.680301E+00  1.118568E-03 -7.219156E-03 -7.685141E-14 -9.793424E-02 -2.065683E-14
         6  13  1.089796E-14 -8.869750E-15 -1.646772E-14 -2.846608E-14 -1.066332E-01 -1.143008E-14
         6  14  1.755850E-14 -4.639623E-15  3.875664E-15 -1.767525E-14 -9.441590E-02 -3.867261E-15
         6  15  2.598713E-14 -1.574675E-15  1.941937E-14 -2.753905E-14 -1.071235E-01 -1.132171E-14
         6  16  1.465081E+00  1.187210E-03  1.197864E-03 -2.911510E-14 -9.744389E-02 -2.913134E-14
         6  17  1.572113E+00 -1.312641E-03  3.631241E-03 -1.502519E-14 -8.522660E-02 -2.314374E-14
         6  18  1.680301E+00 -1.118568E-03  7.219156E-03 -1.502005E-14 -9.793424E-02 -5.655489E-15
         6  19 -1.462529E+00 -9.369986E-05 -1.043544E-04  3.229542E-03 -1.074120E-01  4.731354E-04
         6  20 -1.569562E+00  2.406151E-03 -2.537731E-03  3.734621E-03 -9.475335E-02 -1.688238E-03
         6  21 -1.677749E+00  2.212078E-03 -6.125646E-03  4.239699E-03 -1.070197E-01 -4.355988E-03
         6  22 -6.720918E-13 -9.100296E-15  1.478672E-14 -3.168112E-14 -1.166013E-01  4.731354E-04
         6  23 -7.238914E-13 -1.375309E-14  3.769544E-14 -2.219626E-14 -1.039427E-01 -1.688238E-03
         6  24 -7.947957E-13 -3.826311E-14  1.440746E-14 -3.291258E-14 -1.162090E-01 -4.355988E-03
         6  25  1.462529E+00  9.369986E-05  1.043544E-04 -3.229542E-03 -1.074120E-01  4.731354E-04
         6  26  1.569562E+00 -2.406151E-03  2.537731E-03 -3.734621E-03 -9.475335E-02 -1.688238E-03
         6  27  1.677749E+00 -2.212078E-03  6.125646E-03 -4.239699E-03 -1.070197E-01 -4.355988E-03
         7   1 -1.752153E+00 -6.025950E-03 -6.614553E-03  2.696069E-03 -9.986233E-02  2.316677E-03
         7   2 -1.862015E+00 -1.053182E-02  1.366858E-02  3.845970E-03 -8.721197E-02 -9.081068E-03
         7   3 -1.966948E+00 -3.540057E-03  3.887926E-02  4.995870E-03 -1.012425E-01 -2.264002E-02
         7   4  8.212446E-13 -8.390843E-15 -8.059137E-14 -3.819369E-14 -1.172054E-01  2.316677E-03
         7   5  8.415263E-13 -2.400801E-14 -9.342217E-14 -2.213626E-14 -1.045550E-01 -9.081068E-03
         7   6  8.827192E-13 -3.671543E-14 -4.005154E-14 -1.510817E-14 -1.185855E-01 -2.264002E-02
         7   7  1.752153E+00  6.025950E-03  6.614553E-03 -2.696069E-03 -9.986233E-02  2.316677E-03
         7   8  1.862015E+00  1.053182E-02 -1.366858E-02 -3.845970E-03 -8.721197E-02 -9.081068E-03
         7   9  1.966948E+00  3.540057E-03 -3.887926E-02 -4.995870E-03 -1.012425E-01 -2.264002E-02
         7  10 -1.743176E+00 -2.178659E-03 -2.767262E-03 -6.973036E-14 -9.960512E-02 -1.457819E-14
         7  11 -1.853037E+00 -6.684530E-03  1.751587E-02 -5.226691E-14 -8.540212E-02  1.257328E-14
         7  12 -1.957971E+00  3.072339E-04  4.272655E-02 -4.316839E-14 -9.787996E-02  3.006390E-15
         7  13  2.433617E-14 -1.778160E-15  1.075341E-15 -3.955858E-14 -1.169482E-01 -4.273306E-15
         7  14  2.411372E-14  2.628626E-15 -1.474554E-14 -2.757635E-14 -1.027452E-01  9.192191E-15
         7  15  2.294417E-14 -1.232367E-14 -1.673606E-14 -2.510353E-14 -1.152230E-01  1.651893E-15
         7  16  1.743176E+00  2.178659E-03  2.767262E-03  1.328001E-14 -9.960512E-02  2.379176E-15
         7  17  1.853037E+00  6.684530E-03 -1.751587E-02  1.684152E-14 -8.540212E-02  1.346112E-15
         7  18  1.957971E+00 -3.072339E-04 -4.272655E-02  1.193245E-14 -9.787996E-02 -1.380746E-14
         7  19 -1.752153E+00 -6.025950E-03 -6.614553E-03 -2.696069E-03 -9.986233E-02 -2.316677E-03
         7  20 -1.862015E+00 -1.053182E-02  1.366858E-02 -3.845970E-03 -8.721197E-02  9.081068E-03
         7  21 -1.966948E+00 -3.540057E-03  3.887926E-02 -4.995870E-03 -1.012425E-01  2.264002E-02
         7  22 -7.908816E-13 -2.548152E-14 -1.503015E-16 -2.955357E-14 -1.172054E-01 -2.316677E-03
         7  23 -8.154437E-13 -3.706111E-15 -2.375453E-14 -2.167047E-14 -1.045550E-01  9.081068E-03
         7  24 -8.502400E-13 -1.091908E-14 -5.663530E-14 -2.384099E-14 -1.185855E-01  2.264002E-02
         7  25  1.752153E+00  6.025950E-03  6.614553E-03  2.696069E-03 -9.986233E-02 -2.316677E-03
         7  26  1.862015E+00  1.053182E-02 -1.366858E-02  3.845970E-03 -8.721197E-02  9.081068E-03
         7  27  1.966948E+00  3.540057E-03 -3.887926E-02  4.995870E-03 -1.012425E-01  2.264002E-02
         8   1 -2.029100E+00  1.122618E-02  1.950901E-02 -2.148765E-02 -1.385824E-01 -1.042277E-02
         8   2 -2.132944E+00  4.012714E-02 -7.528050E-02 -2.325396E-02 -1.276013E-01  4.901484E-02
         8   3 -2.245615E+00  4.843121E-02 -1.788972E-01 -2.502026E-02 -1.361958E-01  1.123240E-01
         8   4  9.018728E-13 -3.731389E-14  3.788737E-16 -1.050757E-14 -1.156122E-01 -1.042277E-02
         8   5  9.345957E-13 -2.463121E-14  1.969262E-14  1.238391E-15 -1.046311E-01  4.901484E-02
         8   6  9.544568E-13 -1.878994E-14  3.567808E-15  4.825763E-15 -1.132256E-01  1.123240E-01
         8   7  2.029100E+00 -1.122618E-02 -1.950901E-02  2.148765E-02 -1.385824E-01 -1.042277E-02
         8   8  2.132944E+00 -4.012714E-02  7.528050E-02  2.325396E-02 -1.276013E-01  4.901484E-02
         8   9  2.245615E+00 -4.843121E-02  1.788972E-01  2.502026E-02 -1.361958E-01  1.123240E-01
         8  10 -2.044623E+00  4.573481E-03  1.285631E-02 -4.744861E-14 -8.796574E-02 -9.214815E-15
         8  11 -2.148467E+00  3.347443E-02 -8.193320E-02 -4.160232E-14 -7.966949E-02 -1.608480E-14
         8  12 -2.261138E+00  4.177851E-02 -1.855499E-01 -4.078884E-14 -9.094888E-02 -2.853232E-14
         8  13  2.532380E-14 -2.018039E-14 -9.841100E-15 -7.295129E-15 -6.499554E-02  1.331428E-15
         8  14  2.564050E-14 -2.208676E-14 -7.471971E-15  1.315722E-15 -5.669929E-02  5.888705E-15
         8  15  2.633135E-14 -1.810310E-14 -1.033867E-14  1.830873E-15 -6.797868E-02 -1.692397E-14
         8  16  2.044623E+00 -4.573481E-03 -1.285631E-02  8.058488E-15 -8.796574E-02  1.552190E-15
         8  17  2.148467E+00 -3.347443E-02  8.193320E-02  1.195269E-14 -7.966949E-02  2.441781E-14
         8  18  2.261138E+00 -4.177851E-02  1.855499E-01  5.161413E-15 -9.094888E-02  4.228540E-16
         8  19 -2.029100E+00  1.122618E-02  1.950901E-02  2.148765E-02 -1.385824E-01  1.042277E-02
         8  20 -2.132944E+00  4.012714E-02 -7.528050E-02  2.325396E-02 -1.276013E-01 -4.901484E-02
         8  21 -2.245615E+00  4.843121E-02 -1.788972E-01  2.502026E-02 -1.361958E-01 -1.123240E-01
         8  22 -9.077439E-13 -4.598535E-14 -1.068188E-13 -3.884319E-15 -1.156122E-01  1.042277E-02
         8  23 -9.427666E-13 -6.585874E-14 -1.289797E-13  1.491819E-15 -1.046311E-01 -4.901484E-02
         8  24 -9.579835E-13 -5.990576E-14 -1.100579E-13 -1.147751E-15 -1.132256E-01 -1.123240E-01
         8  25  2.029100E+00 -1.122618E-02 -1.950901E-02 -2.148765E-02 -1.385824E-01  1.042277E-02
         8  26  2.132944E+00 -4.012714E-02  7.528050E-02 -2.325396E-02 -1.276013E-01 -4.901484E-02
         8  27  2.245615E+00 -4.843121E-02  1.788972E-01 -2.502026E-02 -1.361958E-01 -1.123240E-01
         9   1 -2.245615E+00  4.843177E-02 -1.788972E-01  2.502013E-02  1.361955E-01  1.123241E-01
         9   2 -2.132943E+00  4.012817E-02 -7.528125E-02  2.325344E-02  1.276011E-01  4.901523E-02
         9   3 -2.029100E+00  1.122635E-02  1.950688E-02  2.148675E-02  1.385823E-01 -1.042178E-02
         9   4  9.787998E-13 -6.425541E-15 -7.120935E-15  1.285069E-14  1.132257E-01  1.123241E-01
         9   5  9.527620E-13  8.138510E-15  2.643532E-14  1.079130E-14  1.046312E-01  4.901523E-02
         9   6  9.530134E-13  4.153891E-14  1.308056E-13  1.634984E-14  1.156124E-01 -1.042178E-02
         9   7  2.245615E+00 -4.843177E-02  1.788972E-01 -2.502013E-02  1.361955E-01  1.123241E-01
         9   8  2.132943E+00 -4.012817E-02  7.528125E-02 -2.325344E-02  1.276011E-01  4.901523E-02
         9   9  2.029100E+00 -1.122635E-02 -1.950688E-02 -2.148675E-02  1.385823E-01 -1.042178E-02
         9  10 -2.261139E+00  4.177841E-02 -1.855506E-01 -4.738243E-14  9.094897E-02 -1.035212E-14
         9  11 -2.148468E+00  3.347481E-02 -8.193461E-02 -4.108129E-14  7.966939E-02  3.105968E-14
         9  12 -2.044624E+00  4.572990E-03  1.285352E-02 -2.613389E-14  8.796553E-02  2.224961E-14
         9  13  2.424158E-15 -2.341183E-14 -2.906455E-14  1.264746E-14  6.797910E-02 -1.130483E-14
         9  14  1.281652E-14  8.409970E-15  3.482825E-14  1.109707E-14  5.669952E-02  5.159761E-15
         9  15  2.658699E-15  1.188985E-14  5.915065E-14  1.758193E-14  6.499566E-02  2.370324E-14
         9  16  2.261139E+00 -4.177841E-02  1.855506E-01  5.422452E-14  9.094897E-02 -2.534381E-14
         9  17  2.148468E+00 -3.347481E-02  8.193461E-02  5.213032E-14  7.966939E-02 -1.913006E-14
         9  18  2.044624E+00 -4.572990E-03 -1.285352E-02  5.513671E-14  8.796553E-02  2.009229E-14
         9  19 -2.245615E+00  4.843177E-02 -1.788972E-01 -2.502013E-02  1.361955E-01 -1.123241E-01
         9  20 -2.132943E+00  4.012817E-02 -7.528125E-02 -2.325344E-02  1.276011E-01 -4.901523E-02
         9  21 -2.029100E+00  1.122635E-02  1.950688E-02 -2.148675E-02  1.385823E-01  1.042178E-02
         9  22 -9.661969E-13 -4.356915E-14 -6.955529E-14  1.131454E-14  1.132257E-01 -1.123241E-01
         9  23 -9.112334E-13  1.356843E-14  4.376389E-14  1.037035E-14  1.046312E-01 -4.901523E-02
         9  24 -8.997274E-13  1.954556E-14  6.395049E-14  1.739305E-14  1.156124E-01  1.042178E-02
